priority,request,value,latency_ns
0,0,2000,5666196
1,1,2001,9894636
2,2,2002,6205167
3,3,2003,14387436
0,4,2004,4782493
1,5,2005,7308899
2,6,2006,5701027
3,7,2007,11531506
0,8,2008,5554493
1,9,2009,7632798
2,10,2010,6624270
3,11,2011,6317453
0,12,2012,6646727
1,13,2013,7145742
2,14,2014,16889718
3,15,2015,5459123
0,16,2016,5575784
1,17,2017,6028135
2,18,2018,6047967
3,19,2019,5373378
0,20,2020,5097185
1,21,2021,6264664
2,22,2022,4447095
3,23,2023,8011070
0,24,2024,4655751
1,25,2025,5345422
2,26,2026,6341368
3,27,2027,5093101
0,28,2028,5851103
1,29,2029,6374908
2,30,2030,5231927
3,31,2031,5771191
0,32,2032,6934295
1,33,2033,5924891
2,34,2034,6584813
3,35,2035,6107338
0,36,2036,6606604
1,37,2037,6220333
2,38,2038,7151283
3,39,2039,6025510
0,40,2040,6475152
1,41,2041,5513288
2,42,2042,6657726
3,43,2043,6416238
0,44,2044,5691278
1,45,2045,5775856
2,46,2046,4755953
3,47,2047,4725330
0,48,2048,5512205
1,49,2049,5593866
2,50,2050,4664958
3,51,2051,7958864
0,52,2052,8485295
1,53,2053,7028206
2,54,2054,5343630
3,55,2055,5633239
0,56,2056,7384896
1,57,2057,5447749
2,58,2058,5801064
3,59,2059,5081936
0,60,2060,5356921
1,61,2061,5599866
2,62,2062,5639281
3,63,2063,5848478
0,64,2064,5241718
1,65,2065,5619365
2,66,2066,6788344
3,67,2067,5940931
0,68,2068,5479664
1,69,2069,6035301
2,70,2070,6967543
3,71,2071,6708848
0,72,2072,5463498
1,73,2073,5176389
2,74,2074,6288580
3,75,2075,4582420
0,76,2076,5900516
1,77,2077,5772649
2,78,2078,7906951
3,79,2079,5966596
0,80,2080,6291788
1,81,2081,5117600
2,82,2082,6266581
3,83,2083,4239731
0,84,2084,5426751
1,85,2085,7753833
2,86,2086,5510162
3,87,2087,6101923
0,88,2088,5856935
1,89,2089,5730068
2,90,2090,6668143
3,91,2091,5998095
0,92,2092,4819241
1,93,2093,5694195
2,94,2094,5561993
3,95,2095,5466831
0,96,2096,6070841
1,97,2097,7610634
2,98,2098,6267872
3,99,2099,5720735
0,100,2100,6198751
1,101,2101,4704622
2,102,2102,5071228
3,103,2103,5995469
0,104,2104,5993720
1,105,2105,7018873
2,106,2106,4902070
3,107,2107,4643376
0,108,2108,6565940
1,109,2109,6160795
2,110,2110,5490622
3,111,2111,5535120
0,112,2112,4608378
1,113,2113,5716943
2,114,2114,4212608
3,115,2115,5941639
0,116,2116,6111547
1,117,2117,9122844
2,118,2118,6057592
3,119,2119,5615907
0,120,2120,6091131
1,121,2121,6949461
2,122,2122,4449303
3,123,2123,5965430
0,124,2124,6467945
1,125,2125,5684153
2,126,2126,5833021
